date,hour,farm_power_MW,price_EUR_MWh,store_decision
2024-01-10,10,0.0,109.13,0
2024-01-10,11,0.0,102.21,0
2024-01-10,12,0.05460672998428345,105.61,0
2024-01-10,13,0.8444481797218323,112.91,0
2024-01-10,14,1.2024892387390136,123.8,0
2024-01-10,15,1.7156958045959472,134.64,0
2024-01-10,16,0.9436427507400513,143.79,0
2024-01-10,17,0.08048790121078492,140.0,0
2024-01-10,18,0.0,132.15,0
2024-01-10,19,0.0,120.0,0
2024-01-10,20,0.0,109.76,0
2024-01-10,21,0.0,104.49,0
2024-01-10,22,0.7631984224319458,96.03,0
2024-01-10,23,0.47816687679290776,91.75,0
2024-01-11,0,3.956737483978271,88.59,0
2024-01-11,1,10.961981369018556,87.25,0
2024-01-11,2,18.538637449264527,82.38,0
2024-01-11,3,25.35585468006134,81.95,0
2024-01-11,4,26.65347593021393,89.36,0
2024-01-11,5,35.30346568107605,102.07,0
2024-01-11,6,43.362128608703614,116.86,0
2024-01-11,7,46.15645625209808,141.0,0
2024-01-11,8,32.11601636123657,129.16,0
2024-01-11,9,19.09703116607666,113.65,0
2024-01-11,10,17.98785548400879,106.48,0
2024-01-11,11,11.371091079711915,99.38,0
2024-01-11,12,6.534619743347168,99.0,0
2024-01-11,13,6.284223758697509,105.98,0
2024-01-11,14,6.044785194396972,117.96,0
2024-01-11,15,10.366636367797852,137.35,0
2024-01-11,16,14.81260354614258,150.09,0
2024-01-11,17,15.842964818000793,136.69,0
2024-01-11,18,19.828817178726197,132.31,0
2024-01-11,19,19.559287001609803,117.88,0
2024-01-11,20,15.0338723487854,107.19,0
2024-01-11,21,6.340116680145264,100.0,0
2024-01-11,22,8.045938899993896,97.22,0
2024-01-11,23,11.849025810241699,91.04,0
2024-01-12,0,15.835614492416381,88.22,0
2024-01-12,1,17.89825325202942,85.22,0
2024-01-12,2,17.668788125038148,84.63,0
2024-01-12,3,19.052570511817933,84.34,0
2024-01-12,4,23.088799049377442,85.32,0
2024-01-12,5,41.99865539646149,92.11,0
2024-01-12,6,56.680166244506836,118.16,0
2024-01-12,7,59.54132803344727,140.74,0
2024-01-12,8,68.03052534484863,134.96,0
2024-01-12,9,81.1498405265808,122.01,0
2024-01-12,10,93.14521974563598,114.73,0
2024-01-12,11,85.37641319274903,106.98,0
2024-01-12,12,94.42105922698975,103.08,0
2024-01-12,13,113.19642292785645,104.54,0
2024-01-12,14,117.58528183364868,110.0,0
2024-01-12,15,119.31294204711914,120.0,0
2024-01-12,16,133.90756521320344,127.5,0
2024-01-12,17,137.54335846996307,126.0,0
2024-01-12,18,137.39955910778048,119.47,0
2024-01-12,19,144.62196227645876,108.79,0
2024-01-12,20,148.23367102718353,98.48,0
2024-01-12,21,153.65971444702149,93.37,0
2024-01-12,22,117.99694325637816,85.38,0
2024-01-12,23,120.54869964981079,90.0,0
2024-01-13,0,117.02173751449584,85.0,0
2024-01-13,1,108.08752773284913,82.0,0
2024-01-13,2,119.02903548431397,78.47,0
2024-01-13,3,137.59966573333742,75.0,0
2024-01-13,4,146.3413978586197,74.92,0
2024-01-13,5,158.33206095314026,78.1,0
2024-01-13,6,162.32416030025482,82.22,0
2024-01-13,7,166.7019372253418,85.26,0
2024-01-13,8,168.0914475402832,75.11,0
2024-01-13,9,168.26960814857483,74.21,0
2024-01-13,10,167.94705596923828,72.72,0
2024-01-13,11,168.22719011878968,70.35,0
2024-01-13,12,168.20788623046874,63.67,0
2024-01-13,13,168.09959216308593,67.91,0
2024-01-13,14,168.29019557762146,68.61,0
2024-01-13,15,168.29999999999998,70.78,0
2024-01-13,16,168.29999999999998,74.22,0
2024-01-13,17,168.29999999999998,75.81,0
2024-01-13,18,168.292481924057,73.82,0
2024-01-13,19,168.23370568084718,73.06,0
2024-01-13,20,168.24577183914184,70.93,0
2024-01-13,21,168.22465883445741,64.3,0
2024-01-13,22,168.16189315795899,63.16,0
2024-01-13,23,166.6517714538574,64.02,0
2024-01-14,0,166.75049368286133,62.11,0
2024-01-14,1,167.27466622924806,62.93,0
2024-01-14,2,166.7117098388672,64.01,0
2024-01-14,3,165.66800835227966,64.67,0
2024-01-14,4,166.277487865448,65.2,0
2024-01-14,5,166.64729525756835,67.31,0
2024-01-14,6,162.10366001701357,71.66,0
2024-01-14,7,157.79209180927276,76.74,0
2024-01-14,8,157.01428509807587,81.14,0
2024-01-14,9,146.8467950592041,80.63,0
2024-01-14,10,135.33392939186098,81.84,0
2024-01-14,11,141.60401562309266,80.39,0
2024-01-14,12,155.74046479797363,77.04,0
2024-01-14,13,141.20467516994478,79.15,0
2024-01-14,14,165.14605936145784,82.32,0
2024-01-14,15,162.74200971221924,86.62,0
2024-01-14,16,159.85765659427642,91.86,0
2024-01-14,17,159.74918475723268,96.97,0
2024-01-14,18,161.2701236114502,88.91,0
2024-01-14,19,162.98304348564147,81.0,0
2024-01-14,20,166.35980202770233,78.6,0
2024-01-14,21,168.20786755371094,75.39,0
2024-01-14,22,168.29999999999998,67.19,0
2024-01-14,23,168.29999999999998,67.9,0
2024-01-15,0,168.29999999999998,65.0,0
2024-01-15,1,168.29999999999998,63.94,0
2024-01-15,2,168.29999999999998,62.04,0
2024-01-15,3,168.29999999999998,62.04,0
2024-01-15,4,168.29999999999998,69.25,0
2024-01-15,5,168.2333302001953,79.95,0
2024-01-15,6,157.8207723054886,83.84,0
2024-01-15,7,92.84072439193726,99.3,0
2024-01-15,8,45.990917289733886,100.29,0
2024-01-15,9,20.190551688194276,94.88,0
2024-01-15,10,40.42838976573944,90.26,0
2024-01-15,11,14.436455978393555,83.86,0
2024-01-15,12,5.0952755584716805,82.15,0
2024-01-15,13,0.7216515855789184,84.5,0
2024-01-15,14,0.11460102367401123,89.44,0
2024-01-15,15,0.641873911857605,97.52,0
2024-01-15,16,0.1769482970237732,106.46,0
2024-01-15,17,0.9090727286338807,112.8,0
2024-01-15,18,10.103163928985596,110.38,0
2024-01-15,19,14.313816215515137,102.42,0
2024-01-15,20,13.564258392333985,91.78,0
2024-01-15,21,7.086298484802246,89.49,0
2024-01-15,22,0.0,86.43,0
2024-01-15,23,0.0,81.45,0
2024-01-16,0,0.0,81.07,0
2024-01-16,1,1.114133728981018,79.92,0
2024-01-16,2,5.10484525680542,78.19,0
2024-01-16,3,7.466793067932129,76.97,0
2024-01-16,4,12.2767982711792,81.45,0
2024-01-16,5,20.084157397270204,94.07,0
2024-01-16,6,21.882202674865724,114.77,0
2024-01-16,7,14.981691822052001,144.11,0
2024-01-16,8,9.09143286895752,138.6,0
2024-01-16,9,7.795470737457275,122.0,0
2024-01-16,10,0.7410363821983338,110.0,0
2024-01-16,11,0.4406863932609558,103.43,0
2024-01-16,12,2.4197298088073733,94.98,0
2024-01-16,13,17.64183085155487,96.0,0
2024-01-16,14,40.134303932189944,110.25,0
2024-01-16,15,65.81638092041015,111.39,0
2024-01-16,16,85.03067527770996,128.15,0
2024-01-16,17,110.81875959777832,127.31,0
2024-01-16,18,122.6618207130432,111.77,0
2024-01-16,19,141.77770241832735,95.49,0
2024-01-16,20,155.39858747577668,86.21,0
2024-01-16,21,159.96431693172457,82.04,0
2024-01-16,22,167.44471188354493,77.69,0
2024-01-16,23,168.2364989261627,71.61,0
2024-01-17,0,168.2831087207794,71.52,0
2024-01-17,1,168.29999999999998,70.69,0
2024-01-17,2,168.29999999999998,69.74,0
2024-01-17,3,168.29999999999998,69.47,0
2024-01-17,4,168.29999999999998,71.06,0
2024-01-17,5,168.29999999999998,75.09,0
2024-01-17,6,168.29999999999998,84.39,0
2024-01-17,7,168.29999999999998,96.5,0
2024-01-17,8,167.37622109985352,106.16,0
2024-01-17,9,156.75381801223756,110.33,0
2024-01-17,10,112.26189458084106,111.1,0
2024-01-17,11,82.69206407546997,117.71,0
2024-01-17,12,48.035589981079106,121.7,0
2024-01-17,13,33.78722899246216,121.74,0
2024-01-17,14,20.99056987953186,125.46,0
2024-01-17,15,14.557575920104979,128.56,0
2024-01-17,16,12.488102439880372,140.52,0
2024-01-17,17,13.75586616897583,123.59,0
2024-01-17,18,15.075708286285401,114.28,0
2024-01-17,19,12.296147392272948,109.8,0
2024-01-17,20,9.368918712615967,101.09,0
2024-01-17,21,8.962860900878905,94.28,0
2024-01-17,22,5.959982986450195,84.17,0
2024-01-17,23,7.965617168426514,81.33,0
2024-01-18,0,11.914300495147705,77.2,0
2024-01-18,1,10.633642799377443,75.29,0
2024-01-18,2,13.79665620803833,74.91,0
2024-01-18,3,31.15365380859375,77.57,0
2024-01-18,4,45.096159785270686,81.0,0
2024-01-18,5,35.40665958309174,91.44,0
2024-01-18,6,27.942476202964784,111.55,0
2024-01-18,7,50.94970699310303,125.89,0
2024-01-18,8,71.71592903137207,122.17,0
2024-01-18,9,50.77438943481445,110.9,0
2024-01-18,10,36.613882747650145,107.95,0
2024-01-18,11,35.04724142932892,93.55,0
2024-01-18,12,40.306902125358576,87.62,0
2024-01-18,13,43.945040287971494,86.43,0
2024-01-18,14,45.879183440208436,94.25,0
2024-01-18,15,62.88573303222656,99.52,0
2024-01-18,16,63.9630496673584,104.68,0
2024-01-18,17,61.85018930053711,103.26,0
2024-01-18,18,92.34778833389282,94.53,0
2024-01-18,19,133.41780760860445,86.97,0
2024-01-18,20,144.1840535888672,83.12,0
2024-01-18,21,153.0279266653061,80.93,0
2024-01-18,22,158.34104257678985,73.61,0
2024-01-18,23,163.07928058719637,70.58,0
2024-01-19,0,166.44792057609558,66.95,0
2024-01-19,1,167.38271127319337,65.63,0
2024-01-19,2,168.23705066871642,62.76,0
2024-01-19,3,167.74641622924804,63.32,0
2024-01-19,4,163.76031907653808,67.47,0
2024-01-19,5,166.80675897216798,77.94,0
