Date (GMT+2),DE (TenneT) Load decrease (current-induced),DE (TenneT) Load decrease (voltage-induced)
,Energy (MWh),Energy (MWh)
2024-10-19T02:45+02:00,,
2024-10-19T03:00+02:00,,
2024-10-19T03:15+02:00,,
2024-10-19T03:30+02:00,,
2024-10-19T03:45+02:00,,
2024-10-19T04:00+02:00,,
2024-10-19T04:15+02:00,,
2024-10-19T04:30+02:00,,
2024-10-19T04:45+02:00,,
2024-10-19T05:00+02:00,,
2024-10-19T05:15+02:00,,
2024-10-19T05:30+02:00,,
2024-10-19T05:45+02:00,,
2024-10-19T06:00+02:00,,
2024-10-19T06:15+02:00,,
2024-10-19T06:30+02:00,,
2024-10-19T06:45+02:00,,
2024-10-19T07:00+02:00,,
2024-10-19T07:15+02:00,,
2024-10-19T07:30+02:00,,
2024-10-19T07:45+02:00,,
2024-10-19T08:00+02:00,,
2024-10-19T08:15+02:00,,
2024-10-19T08:30+02:00,,
2024-10-19T08:45+02:00,,
2024-10-19T09:00+02:00,,
2024-10-19T09:15+02:00,,
2024-10-19T09:30+02:00,,
2024-10-19T09:45+02:00,,
2024-10-19T10:00+02:00,,
2024-10-19T10:15+02:00,,
2024-10-19T10:30+02:00,,
2024-10-19T10:45+02:00,,
2024-10-19T11:00+02:00,,
2024-10-19T11:15+02:00,,
2024-10-19T11:30+02:00,,
2024-10-19T11:45+02:00,,
2024-10-19T12:00+02:00,,
2024-10-19T12:15+02:00,,
2024-10-19T12:30+02:00,,
2024-10-19T12:45+02:00,,
2024-10-19T13:00+02:00,,
2024-10-19T13:15+02:00,,
2024-10-19T13:30+02:00,,
2024-10-19T13:45+02:00,,
2024-10-19T14:00+02:00,,
2024-10-19T14:15+02:00,,
2024-10-19T14:30+02:00,,
2024-10-19T14:45+02:00,,
2024-10-19T15:00+02:00,,
2024-10-19T15:15+02:00,,
2024-10-19T15:30+02:00,,
2024-10-19T15:45+02:00,,
2024-10-19T16:00+02:00,,
2024-10-19T16:15+02:00,,
2024-10-19T16:30+02:00,,
2024-10-19T16:45+02:00,,
2024-10-19T17:00+02:00,,
2024-10-19T17:15+02:00,,
2024-10-19T17:30+02:00,,
2024-10-19T17:45+02:00,,
2024-10-19T18:00+02:00,,
2024-10-19T18:15+02:00,,
2024-10-19T18:30+02:00,,
2024-10-19T18:45+02:00,,
2024-10-19T19:00+02:00,,
2024-10-19T19:15+02:00,,
2024-10-19T19:30+02:00,,
2024-10-19T19:45+02:00,,
2024-10-19T20:00+02:00,,
2024-10-19T20:15+02:00,,
2024-10-19T20:30+02:00,,
2024-10-19T20:45+02:00,,
2024-10-19T21:00+02:00,,
2024-10-19T21:15+02:00,,
2024-10-19T21:30+02:00,,
2024-10-19T21:45+02:00,,
2024-10-19T22:00+02:00,,
2024-10-19T22:15+02:00,,
2024-10-19T22:30+02:00,,
2024-10-19T22:45+02:00,,
2024-10-19T23:00+02:00,,
2024-10-19T23:15+02:00,,
2024-10-19T23:30+02:00,,
2024-10-19T23:45+02:00,,
2024-10-20T00:00+02:00,-211.25,
2024-10-20T00:15+02:00,-252.75,
2024-10-20T00:30+02:00,-252.75,
2024-10-20T00:45+02:00,-252.75,
2024-10-20T01:00+02:00,-220,
2024-10-20T01:15+02:00,-180,
2024-10-20T01:30+02:00,-180,
2024-10-20T01:45+02:00,-180,
2024-10-20T02:00+02:00,-130,
2024-10-20T02:15+02:00,-130,
2024-10-20T02:30+02:00,-130,
2024-10-20T02:45+02:00,-130,
2024-10-20T03:00+02:00,-129.75,
2024-10-20T03:15+02:00,-129.75,
2024-10-20T03:30+02:00,-129.75,
2024-10-20T03:45+02:00,-129.75,
2024-10-20T04:00+02:00,-121.25,
2024-10-20T04:15+02:00,-121.25,
2024-10-20T04:30+02:00,-121.25,
2024-10-20T04:45+02:00,-121.25,
2024-10-20T05:00+02:00,-68,
2024-10-20T05:15+02:00,-68,
2024-10-20T05:30+02:00,-68,
2024-10-20T05:45+02:00,-68,
2024-10-20T06:00+02:00,-36,
2024-10-20T06:15+02:00,-36,
2024-10-20T06:30+02:00,-36,
2024-10-20T06:45+02:00,-36,
2024-10-20T07:00+02:00,-11,
2024-10-20T07:15+02:00,-11,
2024-10-20T07:30+02:00,-11,
2024-10-20T07:45+02:00,-11,
2024-10-20T08:00+02:00,,
2024-10-20T08:15+02:00,,
2024-10-20T08:30+02:00,,
2024-10-20T08:45+02:00,,
2024-10-20T09:00+02:00,,
2024-10-20T09:15+02:00,,
2024-10-20T09:30+02:00,,
2024-10-20T09:45+02:00,,
2024-10-20T10:00+02:00,-50,
