valid_time,wind_speed,number,expver,hour,month
2024-01-08 07:00:00,9.720052,0,0001,7,1
2024-01-08 08:00:00,9.919563,0,0001,8,1
2024-01-08 09:00:00,9.73749,0,0001,9,1
2024-01-08 10:00:00,8.481735,0,0001,10,1
2024-01-08 11:00:00,8.333104,0,0001,11,1
2024-01-08 12:00:00,8.4267025,0,0001,12,1
2024-01-08 13:00:00,8.530522,0,0001,13,1
2024-01-08 14:00:00,8.13208,0,0001,14,1
2024-01-08 15:00:00,8.21291,0,0001,15,1
2024-01-08 16:00:00,8.532595,0,0001,16,1
2024-01-08 17:00:00,8.676363,0,0001,17,1
2024-01-08 18:00:00,8.540917,0,0001,18,1
2024-01-08 19:00:00,8.126784,0,0001,19,1
2024-01-08 20:00:00,7.6638217,0,0001,20,1
2024-01-08 21:00:00,7.2231684,0,0001,21,1
2024-01-08 22:00:00,6.110425,0,0001,22,1
2024-01-08 23:00:00,6.2872906,0,0001,23,1
2024-01-09 00:00:00,6.2096066,0,0001,0,1
2024-01-09 01:00:00,6.0168533,0,0001,1,1
2024-01-09 02:00:00,5.8698034,0,0001,2,1
2024-01-09 03:00:00,5.286829,0,0001,3,1
2024-01-09 04:00:00,4.566991,0,0001,4,1
2024-01-09 05:00:00,3.99907,0,0001,5,1
2024-01-09 06:00:00,3.639202,0,0001,6,1
2024-01-09 07:00:00,3.7443175,0,0001,7,1
2024-01-09 08:00:00,3.5847943,0,0001,8,1
2024-01-09 09:00:00,2.7267172,0,0001,9,1
2024-01-09 10:00:00,2.03136,0,0001,10,1
2024-01-09 11:00:00,1.3088747,0,0001,11,1
2024-01-09 12:00:00,0.8907186,0,0001,12,1
2024-01-09 13:00:00,0.7377744,0,0001,13,1
2024-01-09 14:00:00,0.48447666,0,0001,14,1
2024-01-09 15:00:00,0.6371278,0,0001,15,1
2024-01-09 16:00:00,0.6050678,0,0001,16,1
2024-01-09 17:00:00,1.036664,0,0001,17,1
2024-01-09 18:00:00,1.4823612,0,0001,18,1
2024-01-09 19:00:00,1.4838482,0,0001,19,1
2024-01-09 20:00:00,1.2632301,0,0001,20,1
2024-01-09 21:00:00,1.0774957,0,0001,21,1
2024-01-09 22:00:00,1.0290213,0,0001,22,1
2024-01-09 23:00:00,1.3598965,0,0001,23,1
2024-01-10 00:00:00,1.4755627,0,0001,0,1
2024-01-10 01:00:00,1.7665825,0,0001,1,1
2024-01-10 02:00:00,2.103654,0,0001,2,1
2024-01-10 03:00:00,2.2771945,0,0001,3,1
2024-01-10 04:00:00,2.736587,0,0001,4,1
2024-01-10 05:00:00,3.2063856,0,0001,5,1
2024-01-10 06:00:00,3.3047976,0,0001,6,1
2024-01-10 07:00:00,2.8730822,0,0001,7,1
2024-01-10 08:00:00,2.367249,0,0001,8,1
2024-01-10 09:00:00,1.8931589,0,0001,9,1
2024-01-10 10:00:00,1.2483312,0,0001,10,1
2024-01-10 11:00:00,1.4222765,0,0001,11,1
2024-01-10 12:00:00,2.048669,0,0001,12,1
2024-01-10 13:00:00,2.7526276,0,0001,13,1
2024-01-10 14:00:00,3.0140913,0,0001,14,1
2024-01-10 15:00:00,3.1039383,0,0001,15,1
2024-01-10 16:00:00,2.8410363,0,0001,16,1
2024-01-10 17:00:00,2.071736,0,0001,17,1
2024-01-10 18:00:00,1.3096621,0,0001,18,1
2024-01-10 19:00:00,1.1183288,0,0001,19,1
2024-01-10 20:00:00,1.5233827,0,0001,20,1
2024-01-10 21:00:00,1.9301139,0,0001,21,1
2024-01-10 22:00:00,2.6802125,0,0001,22,1
2024-01-10 23:00:00,2.4261737,0,0001,23,1
2024-01-11 00:00:00,3.4962776,0,0001,0,1
2024-01-11 01:00:00,4.4817905,0,0001,1,1
2024-01-11 02:00:00,5.246011,0,0001,2,1
2024-01-11 03:00:00,5.7806945,0,0001,3,1
2024-01-11 04:00:00,5.8824687,0,0001,4,1
2024-01-11 05:00:00,6.3961153,0,0001,5,1
2024-01-11 06:00:00,6.8424797,0,0001,6,1
2024-01-11 07:00:00,6.997256,0,0001,7,1
2024-01-11 08:00:00,6.2195644,0,0001,8,1
2024-01-11 09:00:00,5.2898064,0,0001,9,1
2024-01-11 10:00:00,5.202812,0,0001,10,1
2024-01-11 11:00:00,4.529539,0,0001,11,1
2024-01-11 12:00:00,3.9475875,0,0001,12,1
2024-01-11 13:00:00,3.9037507,0,0001,13,1
2024-01-11 14:00:00,3.8618321,0,0001,14,1
2024-01-11 15:00:00,4.412306,0,0001,15,1
2024-01-11 16:00:00,4.9312096,0,0001,16,1
2024-01-11 17:00:00,5.0345855,0,0001,17,1
2024-01-11 18:00:00,5.3472013,0,0001,18,1
2024-01-11 19:00:00,5.3260617,0,0001,19,1
2024-01-11 20:00:00,4.9570346,0,0001,20,1
2024-01-11 21:00:00,3.9135358,0,0001,21,1
2024-01-11 22:00:00,4.1414495,0,0001,22,1
2024-01-11 23:00:00,4.5853205,0,0001,23,1
2024-01-12 00:00:00,5.034009,0,0001,0,1
2024-01-12 01:00:00,5.1957846,0,0001,1,1
2024-01-12 02:00:00,5.1777873,0,0001,2,1
2024-01-12 03:00:00,5.2863193,0,0001,3,1
2024-01-12 04:00:00,5.602886,0,0001,4,1
2024-01-12 05:00:00,6.7669578,0,0001,5,1
2024-01-12 06:00:00,7.4426203,0,0001,6,1
2024-01-12 07:00:00,7.563528,0,0001,7,1
2024-01-12 08:00:00,7.922267,0,0001,8,1
2024-01-12 09:00:00,8.381333,0,0001,9,1
2024-01-12 10:00:00,8.786857,0,0001,10,1
2024-01-12 11:00:00,8.5242195,0,0001,11,1
2024-01-12 12:00:00,8.8299885,0,0001,12,1
2024-01-12 13:00:00,9.423801,0,0001,13,1
2024-01-12 14:00:00,9.55911,0,0001,14,1
2024-01-12 15:00:00,9.612373,0,0001,15,1
2024-01-12 16:00:00,10.081729,0,0001,16,1
2024-01-12 17:00:00,10.228719,0,0001,17,1
2024-01-12 18:00:00,10.222905,0,0001,18,1
2024-01-12 19:00:00,10.514896,0,0001,19,1
2024-01-12 20:00:00,10.6609125,0,0001,20,1
2024-01-12 21:00:00,10.88028,0,0001,21,1
2024-01-12 22:00:00,9.571801,0,0001,22,1
2024-01-12 23:00:00,9.650472,0,0001,23,1
2024-01-13 00:00:00,9.541736,0,0001,0,1
2024-01-13 01:00:00,9.2662945,0,0001,1,1
2024-01-13 02:00:00,9.603621,0,0001,2,1
2024-01-13 03:00:00,10.230995,0,0001,3,1
2024-01-13 04:00:00,10.584411,0,0001,4,1
2024-01-13 05:00:00,11.172052,0,0001,5,1
2024-01-13 06:00:00,11.57347,0,0001,6,1
2024-01-13 07:00:00,12.083295,0,0001,7,1
2024-01-13 08:00:00,12.9347105,0,0001,8,1
2024-01-13 09:00:00,13.702041,0,0001,9,1
2024-01-13 10:00:00,12.846235,0,0001,10,1
2024-01-13 11:00:00,13.286178,0,0001,11,1
2024-01-13 12:00:00,13.096924,0,0001,12,1
2024-01-13 13:00:00,12.939701,0,0001,13,1
2024-01-13 14:00:00,13.903878,0,0001,14,1
2024-01-13 15:00:00,14.306748,0,0001,15,1
2024-01-13 16:00:00,14.734017,0,0001,16,1
2024-01-13 17:00:00,14.3286,0,0001,17,1
2024-01-13 18:00:00,13.926293,0,0001,18,1
2024-01-13 19:00:00,13.350056,0,0001,19,1
2024-01-13 20:00:00,13.468351,0,0001,20,1
2024-01-13 21:00:00,13.261361,0,0001,21,1
2024-01-13 22:00:00,12.977876,0,0001,22,1
2024-01-13 23:00:00,12.052556,0,0001,23,1
2024-01-14 00:00:00,12.113048,0,0001,0,1
2024-01-14 01:00:00,12.434232,0,0001,1,1
2024-01-14 02:00:00,12.089283,0,0001,2,1
2024-01-14 03:00:00,11.909704,0,0001,3,1
2024-01-14 04:00:00,11.970989,0,0001,4,1
2024-01-14 05:00:00,12.049813,0,0001,5,1
2024-01-14 06:00:00,11.551298,0,0001,6,1
2024-01-14 07:00:00,11.117757,0,0001,7,1
2024-01-14 08:00:00,11.039546,0,0001,8,1
2024-01-14 09:00:00,10.604843,0,0001,9,1
2024-01-14 10:00:00,10.139395,0,0001,10,1
2024-01-14 11:00:00,10.392885,0,0001,11,1
2024-01-14 12:00:00,10.964401,0,0001,12,1
2024-01-14 13:00:00,10.37674,0,0001,13,1
2024-01-14 14:00:00,11.857221,0,0001,14,1
2024-01-14 15:00:00,11.615486,0,0001,15,1
2024-01-14 16:00:00,11.325456,0,0001,16,1
2024-01-14 17:00:00,11.3145485,0,0001,17,1
2024-01-14 18:00:00,11.4674835,0,0001,18,1
2024-01-14 19:00:00,11.639723,0,0001,19,1
2024-01-14 20:00:00,11.979266,0,0001,20,1
2024-01-14 21:00:00,13.096741,0,0001,21,1
2024-01-14 22:00:00,14.445139,0,0001,22,1
2024-01-14 23:00:00,15.566312,0,0001,23,1
2024-01-15 00:00:00,16.811646,0,0001,0,1
2024-01-15 01:00:00,15.8547735,0,0001,1,1
2024-01-15 02:00:00,15.38348,0,0001,2,1
2024-01-15 03:00:00,15.048362,0,0001,3,1
2024-01-15 04:00:00,14.622582,0,0001,4,1
2024-01-15 05:00:00,13.3463745,0,0001,5,1
2024-01-15 06:00:00,11.120641,0,0001,6,1
2024-01-15 07:00:00,8.776563,0,0001,7,1
2024-01-15 08:00:00,6.9880867,0,0001,8,1
2024-01-15 09:00:00,5.3755727,0,0001,9,1
2024-01-15 10:00:00,6.6799817,0,0001,10,1
2024-01-15 11:00:00,4.887308,0,0001,11,1
2024-01-15 12:00:00,3.6956015,0,0001,12,1
2024-01-15 13:00:00,2.6431832,0,0001,13,1
2024-01-15 14:00:00,2.10214,0,0001,14,1
2024-01-15 15:00:00,2.5720801,0,0001,15,1
2024-01-15 16:00:00,2.157708,0,0001,16,1
2024-01-15 17:00:00,2.8102252,0,0001,17,1
2024-01-15 18:00:00,4.381555,0,0001,18,1
2024-01-15 19:00:00,4.8729944,0,0001,19,1
2024-01-15 20:00:00,4.785511,0,0001,20,1
2024-01-15 21:00:00,4.0294466,0,0001,21,1
2024-01-15 22:00:00,1.7095071,0,0001,22,1
2024-01-15 23:00:00,1.0162897,0,0001,23,1
2024-01-16 00:00:00,1.2042295,0,0001,0,1
2024-01-16 01:00:00,2.992989,0,0001,1,1
2024-01-16 02:00:00,3.6972768,0,0001,2,1
2024-01-16 03:00:00,4.0738554,0,0001,3,1
2024-01-16 04:00:00,4.635247,0,0001,4,1
2024-01-16 05:00:00,5.367228,0,0001,5,1
2024-01-16 06:00:00,5.508251,0,0001,6,1
2024-01-16 07:00:00,4.9509444,0,0001,7,1
